ID, Domain, len, len%, valid_acceptance, invalid_acceptance
207, childsnack, 30, 0.013966480446927373, 1.0, 0.13598028955171812
208, childsnack, 21, 0.009776536312849162, 1.0, 0.13598028955171812
209, childsnack, 30, 0.013966480446927373, 1.0, 0.13598028955171812
210, childsnack, 18, 0.008379888268156424, 0.3469387755102041, 0.04190127332984476
211, childsnack, 24, 0.0111731843575419, 1.0, 0.13598028955171812
212, childsnack, 30, 0.013966480446927373, 1.0, 0.13598028955171812
213, childsnack, 21, 0.009776536312849162, 1.0, 0.13598028955171812
214, childsnack, 108, 0.05027932960893855, 1.0, 0.13598028955171812
215, childsnack, 117, 0.05446927374301676, 1.0, 0.13598028955171812
216, childsnack, 99, 0.046089385474860335, 1.0, 0.13598028955171812
217, childsnack, 123, 0.05726256983240224, 1.0, 0.13598028955171812
218, childsnack, 100, 0.04655493482309125, 1.0, 0.13598028955171812
219, childsnack, 85, 0.03957169459962756, 1.0, 0.13598028955171812
220, childsnack, 129, 0.06005586592178771, 1.0, 0.13598028955171812
221, childsnack, 117, 0.05446927374301676, 1.0, 0.13598028955171812
222, childsnack, 92, 0.04283054003724395, 1.0, 0.13598028955171812
223, childsnack, 111, 0.051675977653631286, 1.0, 0.13598028955171812
224, childsnack, 230, 0.10707635009310987, 1.0, 0.13598028955171812
225, childsnack, 209, 0.0972998137802607, 1.0, 0.13598028955171812
226, childsnack, 249, 0.11592178770949721, 1.0, 0.13598028955171812
227, childsnack, 199, 0.09264432029795158, 1.0, 0.13598028955171812
228, childsnack, 166, 0.07728119180633147, 1.0, 0.13598028955171812
229, childsnack, 199, 0.09264432029795158, 1.0, 0.13598028955171812
230, childsnack, 235, 0.10940409683426443, 1.0, 0.13598028955171812
231, childsnack, 211, 0.09823091247672253, 1.0, 0.13598028955171812
232, childsnack, 217, 0.10102420856610801, 1.0, 0.13598028955171812
233, childsnack, 226, 0.10521415270018622, 1.0, 0.13598028955171812
234, childsnack, 33, 0.015363128491620111, 1.0, 0.13598028955171812
235, childsnack, 18, 0.008379888268156424, 0.3469387755102041, 0.04190127332984476
236, childsnack, 27, 0.012569832402234637, 1.0, 0.13598028955171812
237, childsnack, 27, 0.012569832402234637, 1.0, 0.13598028955171812
238, childsnack, 33, 0.015363128491620111, 1.0, 0.13598028955171812
239, childsnack, 27, 0.012569832402234637, 1.0, 0.13598028955171812
240, childsnack, 27, 0.012569832402234637, 1.0, 0.13598028955171812
241, childsnack, 24, 0.0111731843575419, 1.0, 0.13598028955171812
242, childsnack, 33, 0.015363128491620111, 1.0, 0.13598028955171812
243, childsnack, 24, 0.0111731843575419, 1.0, 0.13598028955171812
244, childsnack, 111, 0.051675977653631286, 1.0, 0.13598028955171812
245, childsnack, 123, 0.05726256983240224, 1.0, 0.13598028955171812
