ID, Domain, len, len%, acceptance_rate, invalid_acceptance_rate
421, ferry, 38, 0.010376843255051884, 1.0, 0.0
422, ferry, 163, 0.04451119606772255, 1.0, 0.0
423, ferry, 152, 0.04150737302020754, 1.0, 0.0
424, ferry, 260, 0.070999453850355, 1.0, 0.0
425, ferry, 284, 0.07755324959038777, 1.0, 0.0
426, ferry, 189, 0.05161114145275805, 1.0, 0.0
427, ferry, 210, 0.05734571272528673, 1.0, 0.0
428, ferry, 173, 0.04724194429273621, 1.0, 0.0
429, ferry, 167, 0.045603495357728015, 1.0, 0.0
430, ferry, 151, 0.04123429819770617, 1.0, 0.0
431, ferry, 179, 0.0488803932277444, 1.0, 0.0
432, ferry, 366, 0.09994538503549973, 1.0, 0.0
433, ferry, 291, 0.07946477334789732, 1.0, 0.0
434, ferry, 286, 0.0780993992353905, 1.0, 0.0
435, ferry, 342, 0.09339158929546695, 1.0, 0.0
436, ferry, 452, 0.12342981977061715, 1.0, 0.0
437, ferry, 341, 0.0931185144729656, 1.0, 0.0
438, ferry, 537, 0.1466411796832332, 1.0, 0.0
439, ferry, 375, 0.10240305843801202, 1.0, 0.0
440, ferry, 361, 0.0985800109229929, 1.0, 0.0
441, ferry, 309, 0.0843801201529219, 1.0, 0.0
442, floortile, 10, 0.0011974613818704347, 0.0, 0.0
443, floortile, 10, 0.0011974613818704347, 0.13636363636363635, 0.0
444, floortile, 10, 0.0011974613818704347, 0.13636363636363635, 0.0
445, floortile, 10, 0.0011974613818704347, 0.13636363636363635, 0.0
446, floortile, 10, 0.0011974613818704347, 0.13636363636363635, 0.0
447, floortile, 10, 0.0011974613818704347, 0.0, 0.0
448, floortile, 10, 0.0011974613818704347, 0.13636363636363635, 0.0
449, floortile, 10, 0.0011974613818704347, 0.13636363636363635, 0.0
450, floortile, 10, 0.0011974613818704347, 0.0, 0.0
451, floortile, 10, 0.0011974613818704347, 0.0, 0.0
452, floortile, 50, 0.005987306909352174, 0.13636363636363635, 0.0
453, floortile, 50, 0.005987306909352174, 0.13636363636363635, 0.0
454, floortile, 50, 0.005987306909352174, 0.13636363636363635, 0.0
