ID, Domain, len, len%, valid_exe, invalid_exe
130, blocksworld, 176, 0.03552684699232943, 0.4390826220857631, 0.9854545454545455
131, blocksworld, 106, 0.021396851029471135, 0.4390826220857631, 0.9854545454545455
132, blocksworld, 162, 0.03270084779975777, 0.4390826220857631, 0.9854545454545455
133, blocksworld, 94, 0.018974566007266856, 0.4390826220857631, 0.9854545454545455
134, blocksworld, 208, 0.04198627371820751, 0.4390826220857631, 0.9854545454545455
135, blocksworld, 378, 0.0763019781994348, 0.4390826220857631, 0.9854545454545455
136, blocksworld, 290, 0.05853855470327009, 0.4390826220857631, 0.9854545454545455
137, blocksworld, 276, 0.055712555510698425, 0.4390826220857631, 0.9854545454545455
138, blocksworld, 194, 0.03916027452563585, 0.4390826220857631, 0.9854545454545455
139, blocksworld, 496, 0.10012111425111021, 0.4147834429608808, 0.9854545454545455
140, blocksworld, 494, 0.09971740008074284, 0.4390826220857631, 0.9854545454545455
141, blocksworld, 384, 0.07751312071053694, 0.4390826220857631, 0.9854545454545455
142, blocksworld, 458, 0.09245054501413, 0.43558767062401876, 0.9815488215488216
143, blocksworld, 448, 0.0904319741622931, 0.4390826220857631, 0.9854545454545455
144, childsnack, 10, 0.004655493482309125, 0.4803173192076253, 1.0
145, childsnack, 10, 0.004655493482309125, 0.4692557376485948, 1.0
146, childsnack, 10, 0.004655493482309125, 0.2856974138861894, 1.0
147, childsnack, 10, 0.004655493482309125, 0.4803173192076253, 1.0
148, childsnack, 8, 0.0037243947858473, 0.4399035790362321, 0.996734693877551
149, childsnack, 30, 0.013966480446927373, 0.37959448101029736, 1.0
150, childsnack, 30, 0.013966480446927373, 0.2856974138861894, 1.0
151, childsnack, 28, 0.01303538175046555, 0.5808313946069048, 1.0
152, childsnack, 30, 0.013966480446927373, 0.4803173192076253, 1.0
153, childsnack, 30, 0.013966480446927373, 0.410747624446604, 1.0
154, childsnack, 50, 0.023277467411545624, 0.4803173192076253, 1.0
155, childsnack, 50, 0.023277467411545624, 0.4692557376485948, 1.0
156, childsnack, 40, 0.0186219739292365, 0.410747624446604, 1.0
157, childsnack, 50, 0.023277467411545624, 0.5808313946069048, 1.0
158, childsnack, 50, 0.023277467411545624, 0.2856974138861894, 1.0
159, childsnack, 100, 0.04655493482309125, 0.5742143863317333, 1.0
160, childsnack, 88, 0.040968342644320296, 0.5437493803437682, 1.0
161, childsnack, 97, 0.04515828677839851, 0.5035152116402116, 0.9975510204081632
162, childsnack, 85, 0.03957169459962756, 0.5808313946069048, 1.0
163, childsnack, 100, 0.04655493482309125, 0.37959448101029736, 1.0
164, childsnack, 246, 0.11452513966480447, 0.31642279819575736, 1.0
165, childsnack, 240, 0.11173184357541899, 0.43488808149522434, 1.0
166, childsnack, 238, 0.11080074487895716, 0.5808313946069048, 1.0
167, childsnack, 246, 0.11452513966480447, 0.5808313946069048, 1.0
168, childsnack, 245, 0.11405959031657356, 0.5808313946069048, 1.0
169, childsnack, 471, 0.21927374301675978, 0.5808313946069048, 1.0
170, childsnack, 478, 0.22253258845437615, 0.5697698130478742, 1.0
171, childsnack, 486, 0.22625698324022347, 0.5808313946069048, 1.0
172, childsnack, 482, 0.22439478584729983, 0.4669582977491141, 0.9975510204081632
173, childsnack, 468, 0.21787709497206703, 0.5808313946069048, 1.0
174, childsnack, 15, 0.006983240223463687, 0.6820462459875726, 1.0
175, childsnack, 15, 0.006983240223463687, 0.4260925152889439, 1.0
176, childsnack, 15, 0.006983240223463687, 0.3628881133983175, 1.0
177, childsnack, 15, 0.006983240223463687, 0.4803173192076253, 1.0
178, childsnack, 45, 0.02094972067039106, 0.5742143863317333, 1.0
179, childsnack, 45, 0.02094972067039106, 0.5742143863317333, 1.0
180, childsnack, 38, 0.017690875232774673, 0.5808313946069048, 1.0
181, childsnack, 45, 0.02094972067039106, 0.3999701276614542, 1.0
182, childsnack, 45, 0.02094972067039106, 0.5371323720685965, 1.0
183, childsnack, 68, 0.03165735567970205, 0.31642279819575736, 1.0
184, childsnack, 68, 0.03165735567970205, 0.7140536867705235, 0.996734693877551
185, childsnack, 67, 0.031191806331471134, 0.2951256306996103, 1.0
186, childsnack, 75, 0.034916201117318434, 0.5808313946069048, 1.0
187, childsnack, 75, 0.034916201117318434, 0.4500288048119681, 1.0
188, childsnack, 146, 0.06797020484171322, 0.5808313946069048, 1.0
189, childsnack, 142, 0.06610800744878957, 0.4500288048119681, 1.0
190, childsnack, 129, 0.06005586592178771, 0.4399035790362321, 0.996734693877551
191, childsnack, 150, 0.06983240223463687, 0.40658713593662577, 1.0
192, childsnack, 150, 0.06983240223463687, 0.707436678495352, 0.9983673469387755
193, childsnack, 338, 0.15735567970204842, 0.5808313946069048, 1.0
194, childsnack, 338, 0.15735567970204842, 0.5808313946069048, 1.0
195, childsnack, 349, 0.16247672253258846, 0.40658713593662577, 1.0
196, childsnack, 354, 0.164804469273743, 0.31642279819575736, 1.0
197, childsnack, 349, 0.16247672253258846, 0.40658713593662577, 1.0
198, childsnack, 706, 0.3286778398510242, 0.2951256306996103, 1.0
199, childsnack, 720, 0.33519553072625696, 0.40658713593662577, 1.0
200, childsnack, 699, 0.3254189944134078, 0.5808313946069048, 1.0
201, childsnack, 735, 0.34217877094972066, 0.4327095235641154, 1.0
202, childsnack, 701, 0.3263500931098696, 0.4087122991332175, 1.0
203, childsnack, 30, 0.013966480446927373, 0.7253727753727753, 0.9983673469387755
204, childsnack, 18, 0.008379888268156424, 0.7140916514513453, 0.9983673469387755
205, childsnack, 30, 0.013966480446927373, 0.7253727753727753, 0.9983673469387755
206, childsnack, 21, 0.009776536312849162, 0.6607959024158003, 0.9983673469387755
207, childsnack, 21, 0.009776536312849162, 0.7173327541694888, 0.9983673469387755
208, childsnack, 53, 0.024674115456238363, 0.678069488617958, 0.9975510204081632
209, childsnack, 50, 0.023277467411545624, 0.7253727753727753, 0.9983673469387755
210, childsnack, 53, 0.024674115456238363, 0.7253727753727753, 0.9983673469387755
211, childsnack, 69, 0.03212290502793296, 0.7173327541694888, 0.9983673469387755
212, childsnack, 72, 0.0335195530726257, 0.7140536867705235, 0.996734693877551
213, childsnack, 138, 0.06424581005586592, 0.7253727753727753, 0.9983673469387755
214, childsnack, 120, 0.055865921787709494, 0.7251532330103758, 0.9983673469387755
215, childsnack, 102, 0.04748603351955307, 0.7253727753727753, 0.9983673469387755
216, childsnack, 108, 0.05027932960893855, 0.7253727753727753, 0.9983673469387755
217, childsnack, 123, 0.05726256983240224, 0.7253727753727753, 0.9983673469387755
218, childsnack, 177, 0.0824022346368715, 0.7253727753727753, 0.9983673469387755
219, childsnack, 179, 0.08333333333333333, 0.678069488617958, 0.9975510204081632
220, childsnack, 196, 0.09124767225325885, 0.4669582977491141, 0.9975510204081632
221, childsnack, 221, 0.10288640595903166, 0.7140536867705235, 0.996734693877551
222, childsnack, 249, 0.11592178770949721, 0.6793659382945098, 0.9983673469387755
223, childsnack, 520, 0.24208566108007448, 0.7140536867705235, 0.996734693877551
224, childsnack, 554, 0.2579143389199255, 0.6793659382945098, 0.9983673469387755
225, childsnack, 553, 0.2574487895716946, 0.7253727753727753, 0.9983673469387755
226, childsnack, 529, 0.2462756052141527, 0.7253727753727753, 0.9983673469387755
227, childsnack, 535, 0.24906890130353818, 0.7253727753727753, 0.9983673469387755
